species,age,count
other-canine,44,1
other,44,4
rat,20,5
skunk,22,4
other-musteloid,25,3
german-shep,44,1
other-dog,44,1
german-shep,16,11
leopard,17,6
raven,17,10
dragon,66,1
other-reptile,17,7
skunk,27,3
other-marsupial,30,2
badger,25,6
husky,38,3
other-canine,30,5
german-shep,34,1
griffin,28,4
sea-otter,19,5
other-marsupial,20,3
other-feline,16,24
sea-otter,17,8
red-panda,17,14
other-feline,33,5
rabbit,27,7
lion,26,15
kangaroo,43,1
lizard,17,10
polar-bear,25,3
grey-fox,46,1
cheetah,21,10
leopard,18,4
badger,28,1
coyote,16,15
other-feline,42,1
skunk,24,4
cougar,48,1
cougar,21,5
red-fox,15,31
dinosaur,33,2
pandabear,33,1
lemur,25,3
river-otter,34,2
bat,25,9
red-fox,16,51
domestic-cat,45,2
jackal,18,8
red-panda,34,1
hyena,53,2
collie,20,7
polar-bear,24,6
german-shep,18,20
grey-fox,20,16
skunk,18,10
other-fox,34,6
weasel,16,2
other-primate,23,6
kitsune,15,8
other-fox,15,9
raven,26,2
raccoon,30,3
raptor,30,5
red-fox,38,4
lizard,25,9
monkey,17,2
domestic-cat,39,5
raccoon,40,1
tiger,16,14
hyena,17,10
kangaroo,18,7
grey-fox,33,2
rabbit,49,2
brown-bear,18,3
snow-leopard,28,12
coyote,45,1
collie,45,1
raccoon,43,4
kangaroo,35,1
panther,0,1
other-reptile,0,2
skunk,0,1
badger,17,2
other-bear,23,8
kitsune,25,14
skunk,46,1
mouse,46,1
rabbit,46,1
kangaroo,46,1
squirrel,22,4
squirrel,38,2
cougar,36,1
jackal,41,2
rabbit,41,6
badger,44,1
husky,39,3
river-otter,15,1
other-dog,1,4
brown-bear,1,1
other-fox,33,3
kangaroo,20,13
other-fox,52,1
dinosaur,52,1
bat,17,11
dragon,16,48
skunk,53,1
other,53,1
rabbit,53,1
weasel,29,1
rat,22,5
leopard,19,5
kangaroo,34,1
other-bird,33,3
deer,29,3
other-dog,46,3
brown-bear,46,1
mouse,19,3
kangaroo,26,4
griffin,26,5
dinosaur,28,1
other-musteloid,17,3
raccoon,41,3
deer,16,17
river-otter,56,2
other-dog,42,2
polar-bear,29,1
skunk,19,8
leopard,21,5
grey-fox,21,18
dinosaur,24,6
jackal,38,1
dinosaur,18,10
other,41,4
monkey,23,2
hyena,34,2
brown-bear,19,7
raven,29,2
raptor,29,1
brown-bear,22,2
grizzly-bear,22,2
lion,14,5
lion,38,2
panther,16,4
jackal,32,1
horse,32,4
lemur,17,2
grizzly-bear,20,2
squirrel,32,1
hyena,32,6
lion,17,7
grey-fox,15,3
snow-leopard,15,9
other-reptile,15,3
squirrel,47,1
lemur,47,1
collie,46,1
sea-otter,34,1
monkey,34,1
other-marsupial,28,3
tiger,41,4
other-dog,47,2
panther,17,5
raven,16,6
leopard,33,2
lemur,1,1
jackal,17,6
rat,38,1
squirrel,18,4
other-canine,17,21
other-dog,33,10
husky,33,7
red-fox,53,2
raptor,17,10
other-mustelid,17,3
skunk,49,2
sea-otter,23,3
lion,49,1
grizzly-bear,17,8
lemur,23,3
kitsune,50,1
lizard,16,9
rat,16,2
rabbit,16,9
other-marsupial,16,2
german-shep,15,10
polar-bear,20,6
leopard,24,8
kitsune,46,2
other-feline,15,9
snow-leopard,53,1
monkey,20,2
other,99,2
other-fox,1,4
other-feline,1,3
jackal,16,2
raptor,16,10
horse,16,6
skunk,42,1
rat,17,6
jackal,33,2
leopard,32,1
collie,17,6
monkey,21,4
polar-bear,21,6
rabbit,37,2
other-dog,15,14
deer,15,4
other-bear,32,2
mouse,17,5
husky,15,29
griffin,19,8
other-ungulate,15,2
mouse,15,2
brown-bear,29,1
bat,16,7
rat,34,2
griffin,36,1
other-bear,54,2
leopard,46,2
snow-leopard,46,2
panther,46,3
cheetah,46,2
cougar,46,3
grizzly-bear,25,3
rabbit,39,1
wolf,59,2
jackal,29,3
husky,36,2
red-panda,18,6
pandabear,30,3
grey-fox,32,3
badger,29,2
tiger,39,1
horse,39,1
brown-bear,39,1
grizzly-bear,39,1
other-bear,39,2
pandabear,25,5
grey-fox,34,1
bat,27,6
brown-bear,48,1
grizzly-bear,48,1
polar-bear,48,1
lemur,19,1
cougar,22,5
coyote,28,4
leopard,28,2
other-primate,28,2
snow-leopard,51,1
rabbit,40,2
other-canine,38,1
domestic-cat,38,5
grizzly-bear,18,8
pandabear,16,5
monkey,24,2
collie,26,4
grizzly-bear,28,4
rat,28,4
hyena,28,7
kangaroo,24,7
german-shep,32,3
arctic-fox,17,13
collie,33,1
cougar,17,5
raven,28,4
domestic-cat,62,1
other,62,1
wolf,55,2
german-shep,46,1
other-feline,46,1
kitsune,16,8
polar-bear,28,4
raven,33,2
other-musteloid,18,3
dinosaur,17,7
dragon,39,5
kitsune,35,4
kitsune,33,3
polar-bear,31,1
lemur,21,1
griffin,16,6
pandabear,28,3
other-mustelid,45,1
horse,45,1
other-ungulate,17,7
other-marsupial,18,4
other-marsupial,34,2
panther,27,5
lion,35,2
hyena,16,14
wolf,50,3
other-ungulate,18,8
other,65,1
dinosaur,15,2
other-canine,1,1
other-bird,1,3
other-mustelid,20,2
pandabear,18,5
river-otter,14,4
red-panda,16,8
wolf,14,41
rat,18,4
lion,1,3
lemur,24,3
polar-bear,19,5
raptor,26,7
sea-otter,27,2
weasel,27,4
other-reptile,31,2
koala,25,2
grey-fox,27,2
cheetah,17,6
raccoon,15,2
hyena,15,2
grizzly-bear,23,4
